"Date","Price","Open","High","Low","Vol.","Change %"
"10/11/1999","289.10","294.80","294.80","286.60","0.98K","-2.53%"
"10/08/1999","296.60","300.00","300.00","296.60","0.51K","-3.26%"
"10/07/1999","306.60","305.00","309.40","303.20","0.42K","-0.33%"
"10/06/1999","307.60","292.00","308.70","292.00","0.80K","2.98%"
"10/05/1999","298.70","301.00","305.00","297.70","0.39K","-2.54%"
"10/04/1999","306.50","294.00","307.30","291.60","0.58K","3.09%"
"10/01/1999","297.30","302.00","304.00","295.20","0.45K","-1.23%"
"09/30/1999","301.00","291.00","302.80","291.00","0.76K","1.86%"
"09/29/1999","295.50","304.50","307.30","295.50","0.76K","-3.27%"
"09/28/1999","305.50","306.10","310.30","303.70","0.61K","-0.10%"
"09/27/1999","305.80","306.00","311.00","302.30","0.91K","-1.77%"
"09/24/1999","311.30","320.00","320.00","311.30","0.82K","-3.11%"
"09/23/1999","321.30","321.60","327.00","318.60","0.89K","-0.22%"
"09/22/1999","322.00","322.60","324.30","320.20","0.76K","-0.19%"
"09/21/1999","322.60","329.50","330.00","322.60","1.01K","-3.01%"
"09/20/1999","332.60","333.00","336.40","332.20","0.23K","-0.69%"
"09/17/1999","334.90","332.50","340.50","332.50","0.82K","-0.24%"
"09/16/1999","335.70","343.00","343.00","335.70","1.04K","1.24%"
"09/15/1999","331.60","345.50","346.00","331.10","0.40K","-5.01%"
"09/14/1999","349.10","348.10","350.10","344.60","0.29K","0.81%"
"09/13/1999","346.30","347.00","348.20","342.20","0.28K","0.44%"
"09/10/1999","344.80","346.80","349.20","340.30","0.29K","0.35%"
"09/09/1999","343.60","343.20","345.80","342.00","0.23K","-0.52%"
"09/08/1999","345.40","351.50","351.50","344.50","0.53K","-1.93%"
"09/07/1999","352.20","352.00","355.60","350.70","0.53K","0.54%"
"09/03/1999","350.30","348.00","350.70","345.50","0.47K","1.62%"
"09/02/1999","344.70","340.10","347.00","339.50","0.37K","1.06%"
"09/01/1999","341.10","343.30","345.00","341.10","0.38K","-0.35%"
"08/31/1999","342.30","349.50","349.50","342.00","0.57K","-1.95%"
"08/30/1999","349.10","353.00","353.80","349.00","0.28K","-0.77%"
"08/27/1999","351.80","353.20","357.00","351.00","0.38K","-0.73%"
"08/26/1999","354.40","355.00","358.10","352.00","0.69K","1.81%"
"08/25/1999","348.10","340.50","351.50","338.10","0.64K","1.49%"
"08/24/1999","343.00","350.00","351.20","343.00","0.58K","-2.83%"
"08/23/1999","353.00","348.50","353.40","346.30","0.71K","1.29%"
"08/20/1999","348.50","348.00","350.90","346.20","0.59K","0.58%"
"08/19/1999","346.50","346.70","349.00","344.30","1.10K","-2.20%"
"08/18/1999","354.30","362.00","363.90","354.30","0.75K","-2.74%"
"08/17/1999","364.30","370.70","371.00","363.00","0.94K","-1.73%"
"08/16/1999","370.70","375.00","375.00","369.50","0.42K","-0.48%"
"08/13/1999","372.50","371.00","378.00","371.00","0.68K","0.73%"
"08/12/1999","369.80","362.00","369.80","362.00","0.79K","2.78%"
"08/11/1999","359.80","362.20","365.80","359.40","0.78K","-1.13%"
"08/10/1999","363.90","365.50","368.00","362.70","0.57K","-0.08%"
"08/09/1999","364.20","365.00","371.00","363.30","0.54K","0.36%"
"08/06/1999","362.90","361.20","371.20","357.00","1.00K","0.47%"
"08/05/1999","361.20","363.10","369.30","359.50","0.70K","-1.12%"
"08/04/1999","365.30","368.60","371.00","365.10","0.79K","-2.40%"
"08/03/1999","374.30","380.00","380.00","373.10","0.76K","-2.25%"
"08/02/1999","382.90","382.90","382.90","379.10","1.12K","2.68%"
"07/30/1999","372.90","358.00","372.90","358.00","1.12K","2.76%"
"07/29/1999","362.90","369.70","372.00","362.90","1.22K","-2.68%"
"07/28/1999","372.90","376.00","376.00","370.30","1.63K","-1.43%"
"07/27/1999","378.30","388.40","392.00","378.30","1.52K","-2.58%"
"07/26/1999","388.30","384.00","390.70","384.00","0.56K","0.78%"
"07/23/1999","385.30","388.00","388.00","382.50","0.52K","-0.59%"
"07/22/1999","387.60","387.00","391.00","384.70","0.67K","0.23%"
"07/21/1999","386.70","385.50","386.80","381.60","0.54K","0.47%"
"07/20/1999","384.90","389.30","391.30","384.00","0.67K","-0.90%"
"07/19/1999","388.40","382.50","390.00","380.20","0.83K","1.54%"
"07/16/1999","382.50","382.00","389.00","382.00","0.99K","-9.30%"
"07/15/1999","421.70","432.00","432.00","420.20","0.51K","-2.04%"
"07/14/1999","430.50","426.00","435.80","424.70","0.66K","0.82%"
"07/13/1999","427.00","425.00","428.00","420.30","0.45K","-0.07%"
"07/12/1999","427.30","428.00","429.00","424.00","0.57K","-0.60%"
"07/09/1999","429.90","430.00","435.00","428.50","0.85K","-0.49%"
"07/08/1999","432.00","429.50","432.00","424.00","0.48K","0.28%"
"07/07/1999","430.80","434.50","440.80","429.50","0.64K","-1.28%"
"07/06/1999","436.40","419.00","436.70","419.00","0.45K","3.41%"
"07/02/1999","422.00","413.60","422.00","413.60","0.45K","2.20%"
"07/01/1999","412.90","404.00","415.70","404.00","0.67K","2.30%"
"06/30/1999","403.60","404.60","406.50","402.60","0.85K","-0.96%"
"06/29/1999","407.50","407.00","411.00","407.00","0.70K","-1.62%"
"06/28/1999","414.20","415.00","417.60","411.60","0.52K","-0.81%"
"06/25/1999","417.60","415.90","417.70","408.60","0.52K","1.36%"
"06/24/1999","412.00","410.00","414.30","404.30","0.58K","1.68%"
"06/23/1999","405.20","400.00","408.00","397.00","0.93K","1.78%"
"06/22/1999","398.10","396.60","403.00","395.70","0.53K","-0.57%"
"06/21/1999","400.40","417.20","419.70","396.00","1.09K","-1.06%"
"06/18/1999","404.70","404.70","404.70","402.00","0.40K","2.53%"
"06/17/1999","394.70","386.00","394.70","386.00","0.79K","2.60%"
"06/16/1999","384.70","383.50","387.50","380.50","0.44K","0.42%"
"06/15/1999","383.10","382.50","390.50","377.50","1.28K","-0.73%"
"06/14/1999","385.90","387.00","388.80","384.00","1.29K","1.87%"
"06/11/1999","378.80","376.00","378.80","373.50","0.75K","2.71%"
"06/10/1999","368.80","363.80","369.20","363.40","0.67K","1.91%"
"06/09/1999","361.90","356.50","363.80","355.00","1.14K","1.86%"
"06/08/1999","355.30","354.00","357.30","352.10","0.55K","0.62%"
"06/07/1999","353.10","360.00","360.80","353.10","0.77K","-0.79%"
