"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2023","354.00","370.20","370.20","349.00","","-5.27%"
"12/01/2022","373.70","430.00","436.40","362.40","6.67K","-12.97%"
"11/01/2022","429.40","460.10","469.00","416.50","3.05K","-6.98%"
"10/01/2022","461.60","437.70","550.00","421.20","6.90K","9.25%"
"09/01/2022","422.50","514.40","567.00","402.80","4.87K","-16.99%"
"08/01/2022","509.00","529.80","635.60","470.60","6.84K","-3.43%"
"07/01/2022","527.10","660.00","682.60","523.10","3.02K","-20.53%"
"06/01/2022","663.30","644.80","670.00","517.00","5.03K","1.50%"
"05/01/2022","653.50","1,033.90","1,054.00","636.30","3.11K","-37.15%"
"04/01/2022","1,039.70","955.20","1,062.80","829.30","3.90K","7.71%"
"03/01/2022","965.30","1,349.00","1,477.40","945.00","3.14K","-27.78%"
"02/01/2022","1,336.70","962.80","1,341.00","900.90","4.12K","36.41%"
"01/01/2022","979.90","1,131.00","1,311.50","963.70","3.43K","-14.64%"
"12/01/2021","1,147.90","854.60","1,172.10","854.60","4.78K","39.22%"
"11/01/2021","824.50","595.20","831.80","530.10","3.57K","39.37%"
"10/01/2021","591.60","637.10","789.60","588.50","4.63K","-5.72%"
"09/01/2021","627.50","482.10","659.70","454.40","2.95K","29.97%"
"08/01/2021","482.80","623.10","650.00","448.00","4.93K","-22.28%"
"07/01/2021","621.20","716.00","825.60","490.00","4.45K","-13.24%"
"06/01/2021","716.00","1,315.00","1,380.00","705.00","7.52K","-45.32%"
"05/01/2021","1,309.50","1,520.60","1,711.20","1,201.00","4.36K","-12.73%"
"04/01/2021","1,500.50","1,012.60","1,502.30","1,006.00","4.92K","48.70%"
"03/01/2021","1,009.10","1,000.00","1,045.00","826.30","3.63K","1.36%"
"02/01/2021","995.60","887.00","1,030.40","842.90","4.34K","12.24%"
"01/01/2021","887.00","873.10","912.20","651.40","2.99K","1.59%"
"12/01/2020","873.10","641.20","900.50","633.00","5.89K","37.11%"
"11/01/2020","636.80","498.50","648.00","495.00","2.76K","28.49%"
"10/01/2020","495.60","620.20","629.50","490.80","4.92K","-19.05%"
"09/01/2020","612.20","931.00","1,000.00","549.60","3.91K","-34.03%"
"08/01/2020","928.00","595.00","934.50","584.10","11.84K","58.42%"
"07/01/2020","585.80","439.00","600.00","435.10","6.01K","34.45%"
"06/01/2020","435.70","362.30","447.70","346.30","5.76K","18.69%"
"05/01/2020","367.10","320.00","378.50","320.00","2.78K","14.83%"
"04/01/2020","319.70","271.10","344.70","251.50","3.95K","14.79%"
"03/01/2020","278.50","402.90","420.50","278.50","3.79K","-30.27%"
"02/01/2020","399.40","434.30","468.30","394.00","9.76K","-8.29%"
"01/01/2020","435.50","404.00","444.40","387.30","5.03K","7.45%"
"12/01/2019","405.30","410.00","421.10","388.60","6.53K","-2.71%"
"11/01/2019","416.60","397.30","427.70","369.00","4.98K","5.15%"
"10/01/2019","396.20","367.00","409.40","357.50","8.06K","7.93%"
"09/01/2019","367.10","375.00","399.50","355.10","4.61K","-1.98%"
"08/01/2019","374.50","342.40","385.00","340.50","8.20K","8.90%"
"07/01/2019","343.90","383.40","411.60","325.90","6.02K","-9.24%"
"06/01/2019","378.90","302.70","413.60","296.30","9.79K","24.03%"
"05/01/2019","305.50","336.40","356.00","286.10","6.51K","-10.46%"
"04/01/2019","341.20","359.00","367.70","308.00","9.05K","-5.27%"
"03/01/2019","360.20","380.00","406.70","357.70","4.40K","-6.59%"
"02/01/2019","385.60","418.80","444.90","383.00","8.00K","-7.35%"
"01/01/2019","416.20","331.50","428.00","321.30","7.32K","25.17%"
"12/01/2018","332.50","337.20","340.30","315.20","6.61K","2.66%"
"11/01/2018","323.90","320.50","371.00","304.70","5.35K","3.98%"
"10/01/2018","311.50","343.10","372.00","299.90","10.47K","-9.55%"
"09/01/2018","344.40","435.50","455.20","330.60","6.68K","-21.30%"
"08/01/2018","437.60","455.40","486.80","404.00","10.55K","-3.91%"
"07/01/2018","455.40","577.40","588.00","440.00","8.15K","-20.01%"
"06/01/2018","569.30","604.80","606.10","510.20","13.27K","-4.66%"
"05/01/2018","597.10","577.20","659.00","577.20","9.80K","3.45%"
"04/01/2018","577.20","518.00","580.00","512.00","12.84K","11.93%"
"03/01/2018","515.70","516.60","530.00","480.70","7.17K","-0.17%"
"02/01/2018","516.60","474.20","532.60","472.90","11.83K","9.70%"
